reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/74-7200038/2023,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200038/2023,74,,,,,,PASS,
YS-N24/74-7000200/2023,43,,,,,,,,,,,,61.0,30.0,,,,,,A+,N24,YS-N24/72-7000200/2023,74,WB1137275127,05/08/2024,,,,PASS,
YS-N24/74-7000314/2023,43,,,,,,,,,,,,60.0,30.0,,,,,,A+,N24,YS-N24/72-7000314/2023,74,WB1137276826,,,,,PASS,
YS-N24/74-7000223/2023,45,,,,,,,,,,,,53.0,28.0,,,,,,A,N24,YS-N24/72-7000223/2023,74,WB1137273252,05/08/2024,,,,PASS,
YS-N24/74-7000181/2023,45,,,,,,,,,,,,60.0,30.0,,,,,,A+,N24,YS-N24/72-7000181/2023,74,WB1137273246,09/07/2024,,,,PASS,
YS-N24/74-7000163/2023,43,,,,,,,,,,,,58.0,30.0,,,,,,A,N24,YS-N24/72-7000163/2023,74,WB1137276804,05/08/2024,,,,PASS,
YS-N24/74-7000090/2023,43,,,,,,,,,,,,61.0,30.0,,,,,,A+,N24,YS-N24/72-7000090/2023,74,WB1137276807,01/08/2024,,,,PASS,
YS-N24/74-7200053/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200053/2023,74,,,,,,PASS,
YS-N24/74-7200052/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200052/2023,74,,,,,,PASS,
YS-N24/74-7200014/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200014/2023,74,,,,,,PASS,
YS-N24/74-7200031/2023,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200031/2023,74,,,,,,PASS,
YS-N24/74-7000122/2023,45,,,,,,,,,,,,48.0,30.0,,,,,,B+,N24,YS-N24/72-7000122/2023,74,WB1137273250,11/07/2024,,,,PASS,
YS-N24/74-7000048/2023,45,,,,,,,,,,,,52.0,29.0,,,,,,A,N24,YS-N24/72-7000048/2023,74,WB1137272606,04/07/2024,,,,PASS,
YS-N24/74-7000081/2023,45,,,,,,,,,,,,56.0,29.0,,,,,,A,N24,YS-N24/72-7000081/2023,74,WB1137272101,,,,,PASS,
YS-N24/74-7000116/2023,45,,,,,,,,,,,,60.0,30.0,,,,,,A+,N24,YS-N24/72-7000116/2023,74,WB1137274117,01/07/2024,,,,PASS,
YS-N24/74-7000288/2023,45,,,,,,,,,,,,53.0,29.0,,,,,,A,N24,YS-N24/72-7000288/2023,74,WB1137272486,10/07/2024,,,,PASS,
YS-N24/74-7200091/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200091/2023,74,,,,,,PASS,
YS-N24/74-7200036/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200036/2023,74,,,,,,PASS,
YS-N24/74-7200020/2023,35,,,,,,,57.0,27.0,,,,,,,,,,,A,N24,YS-N24/72-7200020/2023,74,WB1137277854,01/07/2024,,,,PASS,
YS-N24/74-7200033/2023,35,,,,,,,57.0,29.0,,,,,,,,,,,A,N24,YS-N24/72-7200033/2023,74,WB1137277898,27/06/2024,,,,PASS,
YS-N24/74-7200006/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200006/2023,74,,,,,,PASS,
YS-N24/74-7200032/2023,35,,,,,,,54.0,27.0,,,,,,,,,,,A,N24,YS-N24/72-7200032/2023,74,WB1137277242,13/07/2024,,,,PASS,
YS-N24/74-7200008/2023,35,,,,,,,57.0,28.0,,,,,,,,,,,A,N24,YS-N24/72-7200008/2023,74,WB1137277179,01/07/2024,,,,PASS,
YS-N24/74-7200076/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/72-7200076/2023,74,,,,,,PASS,
