reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/46-4400425/2015,37,37.0,36.0,60.0,133.0,67.0,B,52.0,92.0,144.0,72.0,B+,0.0,0.0,0.0,0.0,,139.0,70.0,B+,N24,YS-N24/44-4400425/2015,46,021744,,124/021744,,,,
YS-N24/46-4400058/2015,37,39.0,63.0,69.0,171.0,86.0,A,66.0,87.0,153.0,77.0,B+,0.0,0.0,0.0,0.0,,163.0,82.0,A,N24,YS-N24/44-4400058/2015,46,021748,,128/021748,,,,
YS-N24/46-4400441/2015,35,62.0,20.0,48.0,130.0,65.0,B,42.0,75.0,117.0,59.0,C,0.0,0.0,0.0,0.0,,124.0,62.0,B,N24,YS-N24/44-4400441/2015,46,021862,01/12/2016,264/021862,17/06/2016,,,
YS-N24/46-4400190/2015,35,58.0,19.0,48.0,125.0,63.0,B,50.0,80.0,130.0,65.0,B,0.0,0.0,0.0,0.0,,128.0,64.0,B,N24,YS-N24/44-4400190/2015,46,,,64,,,,
YS-N24/46-4400187/2015,35,58.0,20.0,46.0,124.0,62.0,B,34.0,78.0,112.0,56.0,C,0.0,0.0,0.0,0.0,,118.0,59.0,C,N24,YS-N24/44-4400187/2015,46,021874,,276/021874,,,,
YS-N24/46-4400076/2015,35,94.0,42.0,50.0,186.0,93.0,A+,92.0,76.0,168.0,84.0,A,0.0,0.0,0.0,0.0,,177.0,89.0,A,N24,YS-N24/44-4400076/2015,46,021789,29/07/2016,191/021789,27/07/2016,,,
YS-N24/46-4400088/2015,35,100.0,39.0,50.0,189.0,95.0,A+,96.0,88.0,184.0,92.0,A+,0.0,0.0,0.0,0.0,,187.0,94.0,A+,N24,YS-N24/44-4400088/2015,46,021870,27/07/2016,272/021870,27/07/2016,,,
YS-N24/46-4400046/2015,35,86.0,37.0,50.0,173.0,87.0,A,30.0,78.0,108.0,54.0,C,0.0,0.0,0.0,0.0,,141.0,71.0,B+,N24,YS-N24/44-4400046/2015,46,021803,10/01/2017,205/021803,13/07/2016,,,
YS-N24/46-4400062/2015,35,74.0,16.0,36.0,126.0,63.0,B,26.0,78.0,104.0,52.0,C,0.0,0.0,0.0,0.0,,115.0,58.0,C,N24,YS-N24/44-4400062/2015,46,021864,31/08/2016,266/021864,31/08/2016,,,
YS-N24/46-4400392/2015,35,90.0,21.0,42.0,153.0,77.0,B+,64.0,96.0,160.0,80.0,A,0.0,0.0,0.0,0.0,,157.0,79.0,B+,N24,YS-N24/44-4400392/2015,46,,,44,16/07/2016,,,
YS-N24/46-4400393/2015,35,70.0,24.0,42.0,136.0,68.0,B,68.0,94.0,162.0,81.0,A,0.0,0.0,0.0,0.0,,149.0,75.0,B+,N24,YS-N24/44-4400393/2015,46,,,38,10/06/2016,,,
YS-N24/46-4400063/2015,35,92.0,47.0,50.0,189.0,95.0,A+,96.0,94.0,190.0,95.0,A+,0.0,0.0,0.0,0.0,,190.0,95.0,A+,N24,YS-N24/44-4400063/2015,46,021859,,261/021859,,,,
YS-N24/46-4400031/2015,35,76.0,24.0,46.0,146.0,73.0,B+,34.0,78.0,112.0,56.0,C,0.0,0.0,0.0,0.0,,129.0,65.0,B,N24,YS-N24/44-4400031/2015,46,021812,15/09/2016,214/021812,15/09/2016,,,
YS-N24/46-4400224/2015,35,66.0,38.0,48.0,152.0,76.0,B+,68.0,92.0,160.0,80.0,A,0.0,0.0,0.0,0.0,,156.0,78.0,B+,N24,YS-N24/44-4400224/2015,46,,,50,14/06/2016,,,
YS-N24/46-4400109/2015,35,68.0,31.0,44.0,143.0,72.0,B+,86.0,98.0,184.0,92.0,A+,0.0,0.0,0.0,0.0,,164.0,82.0,A,N24,YS-N24/44-4400109/2015,46,,,37,16/06/2016,,,
YS-N24/46-4400061/2015,35,96.0,40.0,44.0,180.0,90.0,A+,96.0,92.0,188.0,94.0,A+,0.0,0.0,0.0,0.0,,184.0,92.0,A+,N24,YS-N24/44-4400061/2015,46,021808,02/03/2017,210/021808,16/06/2016,,,
YS-N24/46-4400090/2015,35,100.0,45.0,44.0,189.0,95.0,A+,100.0,88.0,188.0,94.0,A+,0.0,0.0,0.0,0.0,,189.0,95.0,A+,N24,YS-N24/44-4400090/2015,46,021783,17/08/2016,185/021783,17/08/2016,,,
YS-N24/46-4400188/2015,35,60.0,17.0,46.0,123.0,62.0,B,30.0,74.0,104.0,52.0,C,0.0,0.0,0.0,0.0,,114.0,57.0,C,N24,YS-N24/44-4400188/2015,46,021852,19/04/2017,254/021852,19/04/2017,,,
YS-N24/46-4400369/2015,35,80.0,29.0,36.0,145.0,73.0,B+,66.0,90.0,156.0,78.0,B+,0.0,0.0,0.0,0.0,,151.0,76.0,B+,N24,YS-N24/44-4400369/2015,46,,,35,06/06/2016,,,
YS-N24/46-4400428/2015,35,72.0,13.0,46.0,131.0,66.0,B,36.0,84.0,120.0,60.0,B,0.0,0.0,0.0,0.0,,126.0,63.0,B,N24,YS-N24/44-4400428/2015,46,,,52,16/06/2016,,,
YS-N24/46-4400094/2015,35,92.0,27.0,48.0,167.0,84.0,A,62.0,92.0,154.0,77.0,B+,0.0,0.0,0.0,0.0,,161.0,81.0,A,N24,YS-N24/44-4400094/2015,46,021886,12/12/2016,288/021886,13/06/2016,,,
YS-N24/46-4400226/2015,35,68.0,21.0,50.0,139.0,70.0,B+,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,YS-N24/44-4400226/2015,46,,,,,,,
YS-N24/46-4400110/2015,35,80.0,10.0,44.0,134.0,67.0,B,18.0,78.0,96.0,48.0,D,0.0,0.0,0.0,0.0,,115.0,58.0,C,N24,YS-N24/44-4400110/2015,46,021878,20/04/2017,280/021878,20/04/2017,,,
YS-N24/46-4400137/2015,35,96.0,31.0,48.0,175.0,88.0,A,58.0,88.0,146.0,73.0,B+,0.0,0.0,0.0,0.0,,161.0,81.0,A,N24,YS-N24/44-4400137/2015,46,021879,,281/021879,22/06/2016,,,
YS-N24/46-4400189/2015,35,58.0,13.0,50.0,121.0,61.0,B,38.0,84.0,122.0,61.0,B,0.0,0.0,0.0,0.0,,122.0,61.0,B,N24,YS-N24/44-4400189/2015,46,021832,19/04/2017,234/021832,19/04/2017,,,
YS-N24/46-4400332/2015,35,84.0,35.0,44.0,163.0,82.0,A,74.0,74.0,148.0,74.0,B+,0.0,0.0,0.0,0.0,,156.0,78.0,B+,N24,YS-N24/44-4400332/2015,46,021788,22/10/2016,190/021788,22/10/2016,,,
YS-N24/46-4400399/2015,35,74.0,29.0,48.0,151.0,76.0,B+,72.0,88.0,160.0,80.0,A,0.0,0.0,0.0,0.0,,156.0,78.0,B+,N24,YS-N24/44-4400399/2015,46,,,39,09/06/2016,,,
YS-N24/46-4400322/2015,35,90.0,20.0,50.0,160.0,80.0,A,30.0,74.0,104.0,52.0,C,0.0,0.0,0.0,0.0,,132.0,66.0,B,N24,YS-N24/44-4400322/2015,46,021809,13/08/2016,211/021809,13/08/2016,,,
YS-N24/46-4400314/2015,35,80.0,19.0,42.0,141.0,71.0,B+,16.0,84.0,100.0,50.0,C,0.0,0.0,0.0,0.0,,121.0,61.0,B,N24,YS-N24/44-4400314/2015,46,021842,03/11/2016,244/021842,04/07/2016,,,
YS-N24/46-4400292/2015,35,70.0,21.0,49.0,140.0,70.0,B+,28.0,70.0,98.0,49.0,D,0.0,0.0,0.0,0.0,,119.0,60.0,B,N24,YS-N24/44-4400292/2015,46,021787,08/08/2016,189/021787,08/08/2016,,,
YS-N24/46-4400333/2015,35,94.0,25.0,48.0,167.0,84.0,A,80.0,79.0,159.0,80.0,A,0.0,0.0,0.0,0.0,,164.0,82.0,A,N24,YS-N24/44-4400333/2015,46,021831,08/08/2016,233/021831,08/08/2016,,,
YS-N24/46-4400221/2015,35,82.0,26.0,50.0,158.0,79.0,B+,40.0,80.0,120.0,60.0,B,0.0,0.0,0.0,0.0,,139.0,70.0,B+,N24,YS-N24/44-4400221/2015,46,021824,07/09/2016,226/021824,07/09/2016,,,
YS-N24/46-4400251/2015,35,80.0,28.0,42.0,150.0,75.0,B+,40.0,78.0,118.0,59.0,C,0.0,0.0,0.0,0.0,,134.0,67.0,B,N24,YS-N24/44-4400251/2015,46,021830,04/05/2018,232/021830,04/05/2018,,,
YS-N24/46-4400222/2015,35,60.0,22.0,46.0,128.0,64.0,B,38.0,80.0,118.0,59.0,C,0.0,0.0,0.0,0.0,,123.0,62.0,B,N24,YS-N24/44-4400222/2015,46,021855,10/09/2016,257/021855,10/09/2016,,,
YS-N24/46-4400253/2015,35,66.0,24.0,42.0,132.0,66.0,B,46.0,78.0,124.0,62.0,B,0.0,0.0,0.0,0.0,,128.0,64.0,B,N24,YS-N24/44-4400253/2015,46,021815,04/05/2018,217/021815,04/05/2018,,,
YS-N24/46-4400250/2015,35,48.0,22.0,44.0,114.0,57.0,C,22.0,76.0,98.0,49.0,D,0.0,0.0,0.0,0.0,,106.0,53.0,C,N24,YS-N24/44-4400250/2015,46,021850,,252/021850,,,,
YS-N24/46-4400206/2015,35,52.0,19.0,48.0,119.0,60.0,B,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,YS-N24/44-4400206/2015,46,,,,,,,
YS-N24/46-4400269/2015,35,46.0,15.0,46.0,107.0,54.0,C,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,YS-N24/44-4400269/2015,46,,,,,,,
YS-N24/46-4400270/2015,35,74.0,24.0,44.0,142.0,71.0,B+,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,YS-N24/44-4400270/2015,46,,,,,,,
YS-N24/46-4400201/2015,35,72.0,9.0,40.0,121.0,61.0,B,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,YS-N24/44-4400201/2015,46,,,,,,,
YS-N24/46-4400453/2015,35,68.0,20.0,48.0,136.0,68.0,B,58.0,90.0,148.0,74.0,B+,0.0,0.0,0.0,0.0,,142.0,71.0,B+,N24,YS-N24/44-4400453/2015,46,,,58,15/06/2016,,,
YS-N24/46-4400411/2015,35,76.0,22.0,48.0,146.0,73.0,B+,56.0,92.0,148.0,74.0,B+,0.0,0.0,0.0,0.0,,147.0,74.0,B+,N24,YS-N24/44-4400411/2015,46,,,54,15/06/2016,,,
YS-N24/46-4400287/2015,35,50.0,20.0,40.0,110.0,55.0,C,28.0,70.0,98.0,49.0,D,0.0,0.0,0.0,0.0,,104.0,52.0,C,N24,YS-N24/44-4400287/2015,46,021797,,199/021797,,,,
YS-N24/46-4400291/2015,35,80.0,26.0,48.0,154.0,77.0,B+,72.0,78.0,150.0,75.0,B+,0.0,0.0,0.0,0.0,,152.0,76.0,B+,N24,YS-N24/44-4400291/2015,46,021882,21/03/2017,284/021882,21/03/2017,,,
YS-N24/46-4400223/2015,35,90.0,36.0,48.0,174.0,87.0,A,22.0,76.0,98.0,49.0,D,0.0,0.0,0.0,0.0,,136.0,68.0,B,N24,YS-N24/44-4400223/2015,46,021875,28/09/2016,277/021875,22/07/2016,,,
