reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/35-3300356/2013,35,82.0,32.0,48.0,162.0,81.0,A,80.0,93.0,173.0,87.0,A,0.0,0.0,0.0,0.0,,168.0,84.0,A,N24,YS-N24/33-3300356/2012,35,018028,24/03/2014,460/018028,07/09/2013,PROMITA,,
YS-N24/35-3300355/2013,35,92.0,39.0,48.0,179.0,90.0,A+,78.0,92.0,170.0,85.0,A,0.0,0.0,0.0,0.0,,175.0,88.0,A,N24,YS-N24/33-3300355/2012,35,018017,24/03/2014,449/018017,07/09/2013,PROMITA,,
YS-N24/35-3300215/2013,33,88.0,38.0,50.0,176.0,88.0,A,56.0,70.0,126.0,63.0,B,0.0,0.0,0.0,0.0,,151.0,76.0,B+,N24,YS-N24/33-3300215/2012,35,017996,,413/017996,30/08/2013,PROMITA,,
YS-N24/35-3300148/2013,35,72.0,24.0,36.0,132.0,66.0,B,40.0,75.0,115.0,58.0,C,0.0,0.0,0.0,0.0,,124.0,62.0,B,N24,YS-N24/33-3300148/2012,35,018053,23/05/2014,485/018053,23/05/2014,PROMITA,,
YS-N24/35-3300240/2013,35,70.0,25.0,38.0,133.0,67.0,B,48.0,89.0,137.0,69.0,B,0.0,0.0,0.0,0.0,,136.0,68.0,B,N24,YS-N24/33-3300240/2012,35,018015,30/06/2015,447/018015,21/10/2013,PROMITA,,
YS-N24/35-3300111/2013,35,62.0,20.0,32.0,114.0,57.0,C,50.0,86.0,136.0,68.0,B,0.0,0.0,0.0,0.0,,125.0,63.0,B,N24,YS-N24/33-3300111/2012,35,018044,28/05/2014,476/018044,27/09/2013,PROMITA,,
YS-N24/35-3300199/2013,33,74.0,41.0,50.0,165.0,83.0,A,36.0,82.0,118.0,59.0,C,0.0,0.0,0.0,0.0,,142.0,71.0,B+,N24,YS-N24/33-3300199/2012,35,017990,22/09/2014,407/017990,22/09/2014,PROMITA,,
YS-N24/35-3300172/2013,35,82.0,30.0,36.0,148.0,74.0,B+,52.0,76.0,128.0,64.0,B,0.0,0.0,0.0,0.0,,138.0,69.0,B,N24,YS-N24/33-3300172/2012,35,018086,07/01/2014,518/018086,07/01/2014,PROMITA,,
YS-N24/35-3300074/2013,35,90.0,38.0,48.0,176.0,88.0,A,74.0,91.0,165.0,83.0,A,0.0,0.0,0.0,0.0,,171.0,86.0,A,N24,YS-N24/33-3300074/2012,35,,,43,27/08/2013,PROMITA,,
YS-N24/35-3300073/2013,35,92.0,29.0,30.0,151.0,76.0,B+,86.0,76.0,162.0,81.0,A,0.0,0.0,0.0,0.0,,157.0,79.0,B+,N24,YS-N24/33-3300073/2012,35,018054,12/11/2014,486/018054,02/09/2013,PROMITA,,
