reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/73-7100057/2023,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100057/2022,73,,,,,,PASS,
YS-N24/73-7100056/2023,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100056/2022,73,,,,,,PASS,
YS-N24/73-6900312/2023,43,,,,,,,,,,,,62.0,30.0,,,,,,A+,N24,YS-N24/71-6900312/2022,73,WB1137218453,30/05/2024,,,,PASS,
YS-N24/73-6900093/2023,43,,,,,,,,,,,,67.0,29.0,,,,,,A+,N24,YS-N24/71-6900093/2022,73,WB1137194356,30/09/2024,,,,PASS,
YS-N24/73-7100037/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100037/2022,73,,,,,,PASS,
YS-N24/73-7100055/2023,35,,,,,,,60.0,29.0,,,,,,,,,,,A,N24,YS-N24/71-7100055/2022,73,WB1137190341,14/05/2024,,,,PASS,
YS-N24/73-7100030/2023,35,,,,,,,62.0,30.0,,,,,,,,,,,A+,N24,YS-N24/71-7100030/2022,73,WB1137190272,13/05/2024,,,,PASS,
YS-N24/73-7100029/2023,35,,,,,,,57.0,30.0,,,,,,,,,,,A,N24,YS-N24/71-7100029/2022,73,WB1137190329,13/05/2024,,,,PASS,
YS-N24/73-7100112/2023,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100112/2022,73,,,,,,PASS,
YS-N24/73-7100068/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100068/2022,73,,,,,,PASS,
YS-N24/73-7100070/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100070/2022,73,,,,,,PASS,
YS-N24/73-7100077/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100077/2022,73,,,,,,PASS,
YS-N24/73-6900006/2023,43,,,,,,,,,,,,42.0,28.0,,,,,,B+,N24,YS-N24/71-6900006/2022,73,WB1137196508,09/04/2024,,,,PASS,
YS-N24/73-6900287/2023,45,,,,,,,,,,,,55.0,30.0,,,,,,A,N24,YS-N24/71-6900287/2022,73,WB1137218322,05/04/2024,,,,PASS,
YS-N24/73-6900224/2023,43,,,,,,,,,,,,61.0,30.0,,,,,,A+,N24,YS-N24/71-6900224/2022,73,WB1137194389,12/04/2024,,,,PASS,
YS-N24/73-6900295/2023,43,,,,,,,,,,,,63.0,28.0,,,,,,A+,N24,YS-N24/71-6900295/2022,73,WB1137196578,26/07/2024,,,,PASS,
YS-N24/73-7100044/2023,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100044/2022,73,,,,,,PASS,
YS-N24/73-7100118/2023,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100118/2022,73,,,,,,PASS,
YS-N24/73-7100120/2023,33,,,,,,,56.0,29.0,,,,,,,,,,,A,N24,YS-N24/71-7100120/2022,73,WB1137178036,16/05/2024,,,,PASS,
YS-N24/73-7100119/2023,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-7100119/2022,73,,,,,,PASS,
YS-N24/73-6900296/2023,45,,,,,,,,,,,,55.0,29.0,,,,,,A,N24,YS-N24/71-6900296/2022,73,WB1137217908,03/04/2024,,,,PASS,
YS-N24/73-6900155/2023,45,,,,,,,,,,,,,,,,,,,,N24,YS-N24/71-6900155/2022,73,,,,,,PASS,
YS-N24/73-6900157/2023,45,,,,,,,,,,,,43.0,29.0,,,,,,B+,N24,YS-N24/71-6900157/2022,73,WB1137197925,04/04/2024,,,,PASS,
YS-N24/73-6900095/2023,45,,,,,,,,,,,,55.0,30.0,,,,,,A,N24,YS-N24/71-6900095/2022,73,WB1137217919,03/04/2024,,,,PASS,
YS-N24/73-6900320/2023,43,,,,,,,,,,,,69.0,29.0,,,,,,A+,N24,YS-N24/71-6900320/2022,73,WB1137194410,31/07/2024,,,,PASS,
