reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/29-1900052/2011,45,66.0,34.0,48.0,148.0,74.0,B+,62.0,72.0,134.0,67.0,B,68.0,81.0,149.0,75.0,B+,216.0,72.0,B+,N24,YS-N24/19-1900052/2008,29,015655,,17/015655,,UNKNOWN,,
YS-N24/29-2101099/2011,35,54.0,24.0,42.0,120.0,60.0,B,68.0,75.0,143.0,72.0,B+,0.0,0.0,0.0,0.0,,132.0,66.0,B,N24,YS-N24/21-2101099/2009,29,015885,,312/015885,23/02/2012,UNKNOWN,,
YS-N24/29-2101159/2011,35,58.0,25.0,42.0,125.0,63.0,B,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,63.0,32.0,INC,N24,YS-N24/21-2101159/2009,29,,,,,UNKNOWN,,
YS-N24/29-2101234/2011,35,56.0,17.0,34.0,107.0,54.0,C,10.0,80.0,90.0,45.0,D,0.0,0.0,0.0,0.0,,99.0,50.0,C,N24,YS-N24/21-2101234/2009,29,015876,06/11/2012,312/015876,29/02/2012,UNKNOWN,,
YS-N24/29-2101235/2011,35,70.0,28.0,42.0,140.0,70.0,B+,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,70.0,35.0,INC,N24,YS-N24/21-2101235/2009,29,,,,,UNKNOWN,,
YS-N24/29-2200011/2011,45,90.0,37.0,46.0,173.0,87.0,A,72.0,71.0,143.0,72.0,B+,92.0,98.0,190.0,95.0,A+,254.0,85.0,A,N24,YS-N24/23-2200011/2009,29,015648,27/04/2013,10/015648,23/02/2012,UNKNOWN,,
YS-N24/29-2200581/2011,35,88.0,28.0,38.0,154.0,77.0,B+,68.0,83.0,151.0,76.0,B+,0.0,0.0,0.0,0.0,,153.0,77.0,B+,N24,YS-N24/22-2200581/2009,29,015818,14/01/2013,254/015818,17/04/2012,UNKNOWN,,
YS-N24/29-2200659/2011,35,90.0,35.0,50.0,175.0,88.0,A,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,88.0,44.0,INC,N24,YS-N24/22-2200659/2009,29,,,,,UNKNOWN,,
YS-N24/29-2300482/2011,35,58.0,35.0,34.0,127.0,64.0,B,88.0,88.0,176.0,88.0,A,0.0,0.0,0.0,0.0,,152.0,76.0,B+,N24,YS-N24/23-2300482/2009,29,015879,22/01/2013,315/015879,17/02/2012,UNKNOWN,,
YS-N24/29-2400008/2011,35,64.0,31.0,44.0,139.0,70.0,B+,68.0,86.0,154.0,77.0,B+,0.0,0.0,0.0,0.0,,147.0,74.0,B+,N24,YS-N24/24-2400008/2010,29,015842,25/03/2015,278/015842,15/02/2012,UNKNOWN,,
YS-N24/29-2500026/2011,45,76.0,42.0,24.0,142.0,71.0,B+,58.0,74.0,132.0,66.0,B,50.0,74.0,124.0,62.0,B,199.0,66.0,B,N24,YS-N24/27-2500026/2011,29,015650,,12/015650,,UNKNOWN,,
YS-N24/29-2500037/2011,45,64.0,25.0,31.0,120.0,60.0,B,74.0,66.0,140.0,70.0,B+,46.0,90.0,136.0,68.0,B,198.0,66.0,B,N24,YS-N24/27-2500037/2011,29,015651,10/05/2013,13/015651,10/05/2013,UNKNOWN,,
YS-N24/29-2500105/2011,45,86.0,42.0,40.0,168.0,84.0,A,64.0,84.0,148.0,74.0,B+,28.0,74.0,102.0,51.0,C,209.0,70.0,B+,N24,YS-N24/27-2500105/2011,29,015652,,14/015652,,UNKNOWN,,
YS-N24/29-2500108/2011,43,44.0,48.0,35.0,127.0,64.0,B,34.0,66.0,100.0,50.0,C,26.0,70.0,96.0,48.0,D,162.0,54.0,C,N24,YS-N24/27-2500108/2011,29,015646,,5/015646,20/06/2012,UNKNOWN,,
YS-N24/29-2500143/2011,45,72.0,22.0,39.0,133.0,67.0,B,56.0,80.0,136.0,68.0,B,38.0,74.0,112.0,56.0,C,191.0,64.0,B,N24,YS-N24/27-2500143/2011,29,015649,06/10/2012,11/015649,02/04/2012,UNKNOWN,,
