reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/49-4700040/2016,35,,,,,,,51.0,28.0,,,,,,,,,,,B+,N24,YS-N24/47-4700040/2016,49,WB1001038844,18/05/2017,,,,PASS,
YS-N24/49-4700118/2016,35,,,,,,,50.0,25.0,,,,,,,,,,,B+,N24,YS-N24/47-4700118/2016,49,WB1001038830,28/06/2017,,,,PASS,
YS-N24/49-4700125/2016,35,,,,,,,40.0,25.0,,,,,,,,,,,B,N24,YS-N24/47-4700125/2016,49,WB1001038926,27/06/2017,,,,PASS,
YS-N24/49-4700501/2016,35,,,,,,,54.0,26.0,,,,,,,,,,,A,N24,YS-N24/47-4700501/2016,49,WB1001038586,02/03/2019,,,,PASS,
YS-N24/49-4700110/2016,35,,,,,,,51.0,28.0,,,,,,,,,,,B+,N24,YS-N24/47-4700110/2016,49,WB1001044998,03/08/2017,,,,PASS,
YS-N24/49-4700094/2016,35,,,,,,,50.0,27.0,,,,,,,,,,,B+,N24,YS-N24/47-4700094/2016,49,WB1001038898,29/04/2017,,,,PASS,
YS-N24/49-4700127/2016,35,,,,,,,48.0,26.0,,,,,,,,,,,B+,N24,YS-N24/47-4700127/2016,49,WB1001038690,18/11/2017,,,,PASS,
YS-N24/49-4700399/2016,35,,,,,,,56.0,24.0,,,,,,,,,,,A,N24,YS-N24/47-4700399/2016,49,WB1001044820,20/06/2017,,,,PASS,
YS-N24/49-4700240/2016,35,,,,,,,50.0,20.0,,,,,,,,,,,B+,N24,YS-N24/47-4700240/2016,49,WB1001043884,25/04/2017,,,,PASS,
YS-N24/49-4700146/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/47-4700146/2016,49,,,,,,,
YS-N24/49-4700416/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/47-4700416/2016,49,,,,,,,
YS-N24/49-4700216/2016,35,,,,,,,58.0,24.0,,,,,,,,,,,A,N24,YS-N24/47-4700216/2016,49,WB1001049974,09/06/2017,,,,PASS,
YS-N24/49-4700215/2016,35,,,,,,,57.0,23.0,,,,,,,,,,,A,N24,YS-N24/47-4700215/2016,49,WB1001050060,09/06/2017,,,,PASS,
YS-N24/49-4700181/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/47-4700181/2016,49,,,,,,,
YS-N24/49-4700204/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/47-4700204/2016,49,,,,,,,
YS-N24/49-4700237/2016,35,,,,,,,54.0,28.0,,,,,,,,,,,A,N24,YS-N24/47-4700237/2016,49,WB1001039108,,,,,PASS,
YS-N24/49-4700138/2016,35,,,,,,,53.0,28.0,,,,,,,,,,,A,N24,YS-N24/47-4700138/2016,49,WB1001039146,25/05/2017,,,,PASS,
YS-N24/49-4500017/2016,43,,,,,,,,,,,,63.0,24.0,,,,,,A,N24,YS-N24/47-4500017/2016,49,WB1001047048,14/03/2019,,,,PASS,
YS-N24/49-4500169/2016,43,,,,,,,,,,,,61.0,29.0,,,,,,A+,N24,YS-N24/47-4500169/2016,49,WB1001046958,04/11/2017,,,,PASS,
YS-N24/49-4500206/2016,43,,,,,,,,,,,,62.0,25.0,,,,,,A,N24,YS-N24/47-4500206/2016,49,WB1001048016,13/05/2017,,,,PASS,
YS-N24/49-4700483/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/47-4700483/2016,49,,,,,,,
YS-N24/49-4700491/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/47-4700491/2016,49,,,,,,,
YS-N24/49-4700343/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/47-4700343/2016,49,,,,,,,
