reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/20-2000001/2008,35,58.0,30.0,46.0,134.0,67.0,B,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,67.0,34.0,INC,N24,YS-N24/19-1273/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000002/2008,35,80.0,16.0,48.0,144.0,72.0,B+,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,72.0,36.0,INC,N24,YS-N24/19-1274/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000003/2008,35,80.0,25.0,38.0,143.0,72.0,B+,44.0,80.0,124.0,62.0,B,0.0,0.0,0.0,0.0,,134.0,67.0,B,N24,YS-N24/19-1286/2008,20,011208,23/10/2009,1157/011208,28/05/2009,UNKNOWN,,
YS-N24/20-2000004/2008,35,84.0,31.0,45.0,160.0,80.0,A,66.0,85.0,151.0,76.0,B+,0.0,0.0,0.0,0.0,,156.0,78.0,B+,N24,YS-N24/19-1287/2008,20,011199,,1148/011199,,UNKNOWN,,
YS-N24/20-2000005/2008,35,60.0,25.0,41.0,126.0,63.0,B,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,63.0,32.0,INC,N24,YS-N24/19-1288/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000006/2008,35,48.0,35.0,44.0,127.0,64.0,B,54.0,58.0,112.0,56.0,C,0.0,0.0,0.0,0.0,,120.0,60.0,B,N24,YS-N24/19-1279/2008,20,011491,23/10/2009,1440/011491,28/05/2009,UNKNOWN,,
YS-N24/20-2000007/2008,32,90.0,38.0,43.0,171.0,86.0,A,88.0,85.0,173.0,87.0,A,0.0,0.0,0.0,0.0,,173.0,87.0,A,N24,YS-N24/19-1169/2008,20,011025,01/10/2010,702/011025,01/10/2010,UNKNOWN,,
YS-N24/20-2000008/2008,35,84.0,25.0,33.0,142.0,71.0,B+,60.0,68.0,128.0,64.0,B,0.0,0.0,0.0,0.0,,135.0,68.0,B,N24,YS-N24/19-1056/2008,20,011132,14/04/2010,1081/011132,14/04/2010,UNKNOWN,,
YS-N24/20-2000009/2008,35,76.0,43.0,48.0,167.0,84.0,A,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,84.0,42.0,INC,N24,YS-N24/19-1166/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000010/2008,35,92.0,22.0,46.0,160.0,80.0,A,60.0,92.0,152.0,76.0,B+,0.0,0.0,0.0,0.0,,156.0,78.0,B+,N24,YS-N24/19-1285/2008,20,011368,26/04/2010,1317/011368,26/04/2010,UNKNOWN,,
YS-N24/20-2000011/2008,35,66.0,20.0,36.0,122.0,61.0,B,42.0,69.0,111.0,56.0,C,0.0,0.0,0.0,0.0,,117.0,59.0,C,N24,YS-N24/19-1327/2008,20,011187,,1136/011187,13/06/2009,UNKNOWN,,
YS-N24/20-2000012/2008,35,92.0,31.0,48.0,171.0,86.0,A,74.0,96.0,170.0,85.0,A,0.0,0.0,0.0,0.0,,171.0,86.0,A,N24,YS-N24/19-1317/2008,20,011484,24/03/2010,1433/011484,22/06/2009,UNKNOWN,,
YS-N24/20-2000013/2008,35,44.0,17.0,45.0,106.0,53.0,C,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,53.0,27.0,INC,N24,YS-N24/19-1330/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000014/2008,35,70.0,29.0,48.0,147.0,74.0,B+,38.0,76.0,114.0,57.0,C,0.0,0.0,0.0,0.0,,131.0,66.0,B,N24,YS-N24/19-1319/2008,20,011325,10/10/2009,1274/011325,19/06/2009,UNKNOWN,,
YS-N24/20-2000015/2008,35,70.0,42.0,48.0,160.0,80.0,A,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,80.0,40.0,INC,N24,YS-N24/19-1331/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000016/2008,22,62.0,12.0,17.0,91.0,46.0,D,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,46.0,D,N24,YS-N24/19-1311/2008,20,010491,,128/010491,09/06/2009,UNKNOWN,,
YS-N24/20-2000017/2008,35,54.0,19.0,50.0,123.0,62.0,B,50.0,72.0,122.0,61.0,B,0.0,0.0,0.0,0.0,,123.0,62.0,B,N24,YS-N24/19-1307/2008,20,011437,09/12/2009,1386/011437,09/12/2009,UNKNOWN,,
YS-N24/20-2000018/2008,35,58.0,28.0,26.0,112.0,56.0,C,40.0,56.0,96.0,48.0,D,0.0,0.0,0.0,0.0,,104.0,52.0,C,N24,YS-N24/19-1303/2008,20,011293,13/01/2018,1242/011293,13/01/2018,UNKNOWN,,
YS-N24/20-2000019/2008,35,70.0,36.0,49.0,155.0,78.0,B+,42.0,87.0,129.0,65.0,B,0.0,0.0,0.0,0.0,,143.0,72.0,B+,N24,YS-N24/19-1295/2008,20,11278,,1227/11278,03/06/2009,UNKNOWN,,
YS-N24/20-2000020/2008,35,76.0,22.0,48.0,146.0,73.0,B+,56.0,73.0,129.0,65.0,B,0.0,0.0,0.0,0.0,,138.0,69.0,B,N24,YS-N24/19-1365/2008,20,011221,14/05/2010,1170/011221,14/05/2010,UNKNOWN,,
YS-N24/20-2000021/2008,35,50.0,36.0,50.0,136.0,68.0,B,48.0,73.0,121.0,61.0,B,0.0,0.0,0.0,0.0,,129.0,65.0,B,N24,YS-N24/19-1377/2008,20,011321,19/06/2010,1270/011321,19/06/2010,UNKNOWN,,
YS-N24/20-2000022/2008,35,76.0,41.0,50.0,167.0,84.0,A,58.0,77.0,135.0,68.0,B,0.0,0.0,0.0,0.0,,152.0,76.0,B+,N24,YS-N24/19-1367/2008,20,011354,05/02/2010,1303/011354,31/05/2009,UNKNOWN,,
YS-N24/20-2000023/2008,35,58.0,31.0,40.0,129.0,65.0,B,26.0,72.0,98.0,49.0,D,0.0,0.0,0.0,0.0,,114.0,57.0,C,N24,YS-N24/19-1366/2008,20,011295,22/02/2010,1244/011295,22/02/2010,UNKNOWN,,
YS-N24/20-2000024/2008,35,38.0,23.0,40.0,101.0,51.0,C,34.0,57.0,91.0,46.0,D,0.0,0.0,0.0,0.0,,97.0,49.0,D,N24,YS-N24/19-1370/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000025/2008,35,68.0,25.0,38.0,131.0,66.0,B,52.0,76.0,128.0,64.0,B,0.0,0.0,0.0,0.0,,130.0,65.0,B,N24,YS-N24/19-1371/2008,20,011155,14/12/2009,1104/011155,14/12/2009,UNKNOWN,,
YS-N24/20-2000026/2008,35,56.0,32.0,48.0,136.0,68.0,B,60.0,80.0,140.0,70.0,B+,0.0,0.0,0.0,0.0,,138.0,69.0,B,N24,YS-N24/19-1382/2008,20,011397,14/05/2010,1346/011397,12/06/2009,UNKNOWN,,
YS-N24/20-2000027/2008,35,64.0,23.0,48.0,135.0,68.0,B,50.0,74.0,124.0,62.0,B,0.0,0.0,0.0,0.0,,130.0,65.0,B,N24,YS-N24/19-1378/2008,20,011377,,1326/011377,10/06/2009,UNKNOWN,,
YS-N24/20-2000028/2008,35,56.0,26.0,38.0,120.0,60.0,B,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,60.0,30.0,INC,N24,YS-N24/19-1318/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000029/2008,35,66.0,12.0,42.0,120.0,60.0,B,46.0,81.0,127.0,64.0,B,0.0,0.0,0.0,0.0,,124.0,62.0,B,N24,YS-N24/14-0808/2006,20,011308,10/11/2009,1257/011308,02/06/2009,UNKNOWN,,
YS-N24/20-2000030/2008,32,78.0,29.0,38.0,145.0,73.0,B+,68.0,70.0,138.0,69.0,B,0.0,0.0,0.0,0.0,,142.0,71.0,B+,N24,YS-N24/19-0888/2008,20,011026,19/05/2010,703/011026,19/05/2010,UNKNOWN,,
YS-N24/20-2000031/2008,35,74.0,36.0,35.0,145.0,73.0,B+,56.0,94.0,150.0,75.0,B+,0.0,0.0,0.0,0.0,,148.0,74.0,B+,N24,YS-N24/19-0975/2008,20,011135,08/12/2009,1084/011135,06/06/2009,UNKNOWN,,
YS-N24/20-2000032/2008,35,82.0,26.0,38.0,146.0,73.0,B+,54.0,73.0,127.0,64.0,B,0.0,0.0,0.0,0.0,,137.0,69.0,B,N24,YS-N24/19-0993/2008,20,011157,19/12/2009,1106/011157,16/07/2009,UNKNOWN,,
YS-N24/20-2000033/2008,32,86.0,44.0,35.0,165.0,83.0,A,78.0,80.0,158.0,79.0,B+,0.0,0.0,0.0,0.0,,162.0,81.0,A,N24,YS-N24/19-0829/2008,20,011017,16/11/2009,694/011017,29/05/2009,UNKNOWN,,
YS-N24/20-2000034/2008,32,82.0,44.0,38.0,164.0,82.0,A,86.0,56.0,142.0,71.0,B+,0.0,0.0,0.0,0.0,,153.0,77.0,B+,N24,YS-N24/19-0830/2008,20,010992,14/11/2009,669/010992,06/08/2009,UNKNOWN,,
YS-N24/20-2000035/2008,35,68.0,25.0,46.0,139.0,70.0,B+,58.0,81.0,139.0,70.0,B+,0.0,0.0,0.0,0.0,,140.0,70.0,B+,N24,YS-N24/19-1072/2008,20,011424,,1373/011424,30/05/2009,UNKNOWN,,
YS-N24/20-2000036/2008,22,68.0,29.0,36.0,133.0,67.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,67.0,B,N24,YS-N24/19-1072/2008,20,,,804,30/05/2009,UNKNOWN,,
YS-N24/20-2000037/2008,35,68.0,27.0,32.0,127.0,64.0,B,40.0,71.0,111.0,56.0,C,0.0,0.0,0.0,0.0,,120.0,60.0,B,N24,YS-N24/19-1080/2008,20,011202,02/11/2009,1151/011202,01/06/2009,UNKNOWN,,
YS-N24/20-2000038/2008,35,70.0,23.0,27.0,120.0,60.0,B,58.0,61.0,119.0,60.0,B,0.0,0.0,0.0,0.0,,120.0,60.0,B,N24,YS-N24/19-0868/2008,20,011336,21/05/2010,1285/011336,21/05/2010,UNKNOWN,,
YS-N24/20-2000039/2008,22,54.0,0.0,0.0,54.0,27.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,27.0,INC,N24,YS-N24/19-0869/2008,20,,,,,UNKNOWN,,
YS-N24/20-2000040/2008,35,70.0,29.0,41.0,140.0,70.0,B+,56.0,71.0,127.0,64.0,B,0.0,0.0,0.0,0.0,,134.0,67.0,B,N24,YS-N24/19-1054/2008,20,011362,03/12/2009,1311/011362,23/07/2009,UNKNOWN,,
YS-N24/20-2000041/2008,22,70.0,30.0,35.0,135.0,68.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,68.0,B,N24,YS-N24/19-1054/2008,20,,,792,11/06/2009,UNKNOWN,,
YS-N24/20-2000042/2008,35,0.0,0.0,0.0,0.0,67.0,B,68.0,61.0,129.0,65.0,B,0.0,0.0,0.0,0.0,,132.0,66.0,B,N24,YS-N24/19-0176/2008,20,011503,10/11/2009,1452/011503,06/08/2009,UNKNOWN,,
YS-N24/20-2000043/2008,35,60.0,32.0,27.0,119.0,60.0,B,72.0,62.0,134.0,67.0,B,0.0,0.0,0.0,0.0,,127.0,64.0,B,N24,YS-N24/19-1190/2008,20,011161,,1110/011161,30/05/2009,UNKNOWN,,
