reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/50-5000001/2016,25,,,,,,,,,,,,,,,,,,,,N24,,50,,,,,PROMITA,,
YS-N24/50-4800003/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800003/2016,50,,,,,,,
YS-N24/50-4800359/2016,32,,,,,,,61.0,27.0,,,,,,,,,,,A,N24,YS-N24/48-4800359/2016,50,WB1001163838,01/07/2017,,,,PASS,
YS-N24/50-4800304/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800304/2016,50,,,,,,,
YS-N24/50-4800014/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800014/2016,50,,,,,,,
YS-N24/50-4800491/2016,35,,,,,,,59.0,25.0,,,,,,,,,,,A,N24,YS-N24/48-4800491/2016,50,WB1001167014,20/06/2017,,,,PASS,
YS-N24/50-4800347/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800347/2016,50,,,,,,,
YS-N24/50-4800332/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800332/2016,50,,,,,,,
YS-N24/50-4800131/2016,35,,,,,,,48.0,25.0,,,,,,,,,,,B+,N24,YS-N24/48-4800131/2016,50,WB1001177978,22/02/2018,,,,PASS,
YS-N24/50-4800225/2016,35,,,,,,,54.0,25.0,,,,,,,,,,,B+,N24,YS-N24/48-4800225/2016,50,WB1002116574,21/03/2018,,,,PASS,
YS-N24/50-4800224/2016,35,,,,,,,55.0,25.0,,,,,,,,,,,A,N24,YS-N24/48-4800224/2016,50,WB1002116622,21/03/2018,,,,PASS,
YS-N24/50-4800221/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800221/2016,50,,,,,,,
YS-N24/50-4800222/2016,35,,,,,,,54.0,28.0,,,,,,,,,,,A,N24,YS-N24/48-4800222/2016,50,WB1001176636,03/07/2017,,,,PASS,
YS-N24/50-4800303/2016,35,,,,,,,60.0,29.0,,,,,,,,,,,A,N24,YS-N24/48-4800303/2016,50,WB1001175550,03/07/2017,,,,PASS,
YS-N24/50-4800273/2016,35,,,,,,,42.0,23.0,,,,,,,,,,,B,N24,YS-N24/48-4800273/2016,50,WB1001176600,14/07/2017,,,,PASS,
YS-N24/50-4800298/2016,35,,,,,,,53.0,28.0,,,,,,,,,,,A,N24,YS-N24/48-4800298/2016,50,WB1001176662,08/08/2017,,,,PASS,
YS-N24/50-4800195/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800195/2016,50,,,,,,,
YS-N24/50-4800513/2016,35,,,,,,,51.0,28.0,,,,,,,,,,,B+,N24,YS-N24/48-4800513/2016,50,WB1001166940,03/07/2017,,,,PASS,
YS-N24/50-4800122/2016,35,,,,,,,50.0,21.0,,,,,,,,,,,B+,N24,YS-N24/48-4800122/2016,50,WB1001184292,20/07/2017,,,,PASS,
YS-N24/50-4800018/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800018/2016,50,,,,,,,
YS-N24/50-4800123/2016,35,,,,,,,52.0,27.0,,,,,,,,,,,B+,N24,YS-N24/48-4800123/2016,50,WB1001166964,13/07/2017,,,,PASS,
YS-N24/50-3600192/2016,35,,,,,,,58.0,29.0,,,,,,,,,,,A,N24,YS-N24/36-3600192/2013,50,WB1001166930,03/07/2017,,,,PASS,
YS-N24/50-4800141/2016,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800141/2016,50,,,,,,,
YS-N24/50-4800127/2016,33,,,,,,,58.0,27.0,,,,,,,,,,,A,N24,YS-N24/48-4800127/2016,50,WB1001162514,31/07/2017,,,,PASS,
YS-N24/50-4800233/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800233/2016,50,,,,,,,
YS-N24/50-4800193/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800193/2016,50,,,,,,,
YS-N24/50-4800510/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800510/2016,50,,,,,,,
YS-N24/50-4800509/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800509/2016,50,,,,,,,
YS-N24/50-4800514/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800514/2016,50,,,,,,,
YS-N24/50-4800565/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800565/2016,50,,,,,,,
YS-N24/50-4800521/2016,35,,,,,,,49.0,28.0,,,,,,,,,,,B+,N24,YS-N24/48-4800521/2016,50,WB1001183170,27/06/2017,,,,PASS,
YS-N24/50-5000002/2016,25,,,,,,,,,,,,,,,,,,,,N24,,50,,,,,PROMITA,,
YS-N24/50-4800467/2016,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800467/2016,50,,,,,,,
YS-N24/50-4800004/2016,35,,,,,,,54.0,28.0,,,,,,,,,,,A,N24,YS-N24/48-4800004/2016,50,WB1001177604,26/08/2017,,,,PASS,
YS-N24/50-4800005/2016,35,,,,,,,48.0,28.0,,,,,,,,,,,B+,N24,YS-N24/48-4800005/2016,50,WB1001177664,26/08/2017,,,,PASS,
YS-N24/50-4800057/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800057/2016,50,,,,,,,
YS-N24/50-4800407/2016,35,,,,,,,40.0,24.0,,,,,,,,,,,B,N24,YS-N24/48-4800407/2016,50,WB1001172362,13/07/2017,,,,PASS,
YS-N24/50-4800501/2016,35,,,,,,,54.0,23.0,,,,,,,,,,,B+,N24,YS-N24/48-4800501/2016,50,WB1001174162,13/07/2017,,,,PASS,
YS-N24/50-4800471/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800471/2016,50,,,,,,,
YS-N24/50-4800458/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800458/2016,50,,,,,,,
YS-N24/50-4800114/2016,35,,,,,,,63.0,24.0,,,,,,,,,,,A,N24,YS-N24/48-4800114/2016,50,WB1001173952,29/06/2017,,,,PASS,
YS-N24/50-4800216/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800216/2016,50,,,,,,,
YS-N24/50-4800211/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800211/2016,50,,,,,,,
YS-N24/50-4800056/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800056/2016,50,,,,,,,
YS-N24/50-4800059/2016,35,,,,,,,59.0,25.0,,,,,,,,,,,A,N24,YS-N24/48-4800059/2016,50,WB1001172444,30/11/2017,,,,PASS,
YS-N24/50-4800089/2016,35,,,,,,,54.0,29.0,,,,,,,,,,,A,N24,YS-N24/48-4800089/2016,50,WB1001172432,22/06/2017,,,,PASS,
YS-N24/50-4800452/2016,35,,,,,,,54.0,23.0,,,,,,,,,,,B+,N24,YS-N24/48-4800452/2016,50,WB1001172382,14/01/2021,,,,PASS,
YS-N24/50-4800511/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800511/2016,50,,,,,,,
YS-N24/50-4800135/2016,33,,,,,,,58.0,25.0,,,,,,,,,,,A,N24,YS-N24/48-4800135/2016,50,WB1001160314,27/06/2019,,,,PASS,
YS-N24/50-4800038/2016,35,,,,,,,56.0,28.0,,,,,,,,,,,A,N24,YS-N24/48-4800038/2016,50,WB1001166854,20/11/2017,,,,PASS,
YS-N24/50-4600037/2016,45,,,,,,,,,,,,50.0,26.0,,,,,,B+,N24,YS-N24/48-4600037/2016,50,WB1001166302,31/03/2018,,,,PASS,
YS-N24/50-4800486/2016,35,,,,,,,56.0,23.0,,,,,,,,,,,B+,N24,YS-N24/48-4800486/2016,50,WB1001185780,21/07/2017,,,,PASS,
YS-N24/50-4800210/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800210/2016,50,,,,,,,
YS-N24/50-4800451/2016,35,,,,,,,55.0,27.0,,,,,,,,,,,A,N24,YS-N24/48-4800451/2016,50,WB1001177684,16/09/2017,,,,PASS,
YS-N24/50-4800463/2016,35,,,,,,,52.0,24.0,,,,,,,,,,,B+,N24,YS-N24/48-4800463/2016,50,WB1001177694,25/10/2017,,,,PASS,
YS-N24/50-4800447/2016,35,,,,,,,56.0,28.0,,,,,,,,,,,A,N24,YS-N24/48-4800447/2016,50,WB1001177766,12/07/2017,,,,PASS,
YS-N24/50-4800404/2016,35,,,,,,,57.0,28.0,,,,,,,,,,,A,N24,YS-N24/48-4800404/2016,50,WB1001184616,31/07/2017,,,,PASS,
YS-N24/50-4800390/2016,35,,,,,,,56.0,29.0,,,,,,,,,,,A,N24,YS-N24/48-4800390/2016,50,WB1001176554,03/07/2017,,,,PASS,
YS-N24/50-4800191/2016,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/48-4800191/2016,50,,,,,,,
