batchcode,coursecode,courseid,batchday,batchtime,faculty,totalseat,alloted,classstart,terget,remarks,session,ses_half,centre,DELETEd,USER
21001,21,CCAD,SUNDAY,10AM TO 2PM,PROMITESH MOULICK,20.0,20.0,04/02/2001,0.0,,4,A,N24,,UNKNOWN
21002,21,CCAD,SUNDAY,2PM TO 6PM,PROMITESH MOULICK,20.0,20.0,04/02/2001,0.0,,4,A,N24,,UNKNOWN
22001,22,CDTP/DDTP-Sem-I,MON-THU,11:30AM TO 1:30PM,PROMITESH MOULICK,16.0,16.0,22/01/2001,0.0,,4,A,N24,,UNKNOWN
22002,22,CDTP/DDTP-Sem-I,MON-THU,2PM TO 4PM,PROMITESH MOULICK,10.0,10.0,22/01/2001,0.0,,4,A,N24,,UNKNOWN
22003,22,CDTP/DDTP-Sem-I,WED-SAT,4PM TO 6PM,PROMITESH MOULICK,18.0,18.0,24/01/2001,0.0,,4,A,N24,,UNKNOWN
22004,22,CDTP/DDTP-Sem-I,TUE-FRI,11:30AM TO 1:30PM,PROMITESH MOULICK,12.0,12.0,30/01/2001,0.0,,4,A,N24,,UNKNOWN
22005,22,CDTP/DDTP-Sem-I,MON-THU,6PM TO 8PM,PROMITESH MOULICK,16.0,16.0,22/01/2001,0.0,,4,A,N24,,UNKNOWN
23001,23,CFAS/DFAS-Sem-I,MON-THU,4PM TO 6PM,PROMITESH MOULICK,16.0,16.0,22/01/2001,0.0,,4,A,N24,,UNKNOWN
23002,23,CFAS/DFAS-Sem-I,WED-SAT,9:30AM TO 11:30PM,SAMARPITA GUPTA,16.0,16.0,24/01/2001,0.0,,4,A,N24,,UNKNOWN
23003,23,CFAS/DFAS-Sem-I,WED-SAT,2PM TO 4PM,PROMITESH MOULICK,17.0,17.0,24/01/2001,0.0,,4,A,N24,,UNKNOWN
23004,23,CFAS/DFAS-Sem-I,TUE-FRI,11:30AM TO 1:30PM,PROMITESH MOULICK,16.0,16.0,02/02/2001,0.0,,4,A,N24,,UNKNOWN
23005,23,CFAS/DFAS-Sem-I,WED-SAT,11:30PM TO 1:30PM,PROMITESH MOULICK,16.0,16.0,24/01/2001,0.0,,4,A,N24,,UNKNOWN
23006,23,CFAS/DFAS-Sem-I,TUE-FRI,6PM TO 8PM,PROMITESH MOULICK,22.0,22.0,02/02/2001,0.0,,4,A,N24,,UNKNOWN
23007,23,CFAS/DFAS-Sem-I,SAT-SUN,04 PM TO 06 PM,MANASHI DAS GUPTA,20.0,20.0,27/01/2001,0.0,,4,A,N24,,UNKNOWN
25001,25,CITA/DITA-Sem-I,MON-THU,9:30AM TO 11:30AM,PROMITESH MOULICK,18.0,18.0,22/01/2001,0.0,,4,A,N24,,UNKNOWN
25002,25,CITA/DITA-Sem-I,MON-THU,11:30AM TO 1:30PM,SAMARESH KARMAKAR,18.0,18.0,22/01/2001,0.0,,4,A,N24,,UNKNOWN
25003,25,CITA/DITA-Sem-I,MON-THU,2PM TO 4PM,SAMARESH KARMAKAR,22.0,22.0,22/01/2001,0.0,,4,A,N24,,UNKNOWN
25004,25,CITA/DITA-Sem-I,MON-THU,4PM TO 6PM,SAMARESH KARMAKAR,20.0,20.0,22/01/2001,0.0,,4,A,N24,,UNKNOWN
25005,25,CITA/DITA-Sem-I,TUE-FRI,9:30AM TO 11:30AM,SAMARESH KARMAKAR,18.0,18.0,30/01/2001,0.0,,4,A,N24,,UNKNOWN
25006,25,CITA/DITA-Sem-I,TUE-FRI,11:30AM TO 1:30PM,SAMARESH KARMAKAR,22.0,22.0,30/01/2001,0.0,,4,A,N24,,UNKNOWN
25007,25,CITA/DITA-Sem-I,TUE-FRI,2PM TO 4PM,SAMARESH KARMAKAR,18.0,18.0,30/01/2001,0.0,,4,A,N24,,UNKNOWN
25008,25,CITA/DITA-Sem-I,TUE-FRI,2PM TO 4PM,SAMARESH KARMAKAR,17.0,17.0,30/01/2001,0.0,,4,A,N24,,UNKNOWN
25009,25,CITA/DITA-Sem-I,TUE-FRI,4PM TO 6PM,SAMARESH KARMAKAR,18.0,18.0,30/01/2001,0.0,,4,A,N24,,UNKNOWN
25010,25,CITA/DITA-Sem-I,TUE-FRI,4PM TO 6PM,SAMARESH KARMAKAR,16.0,16.0,30/01/2001,0.0,,4,A,N24,,UNKNOWN
25011,25,CITA/DITA-Sem-I,TUE-FRI,6PM TO 8PM,SAMARESH KARMAKAR,22.0,22.0,30/01/2001,0.0,,4,A,N24,,UNKNOWN
