reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/44-4200165/2015,32,84.0,32.0,45.0,161.0,81.0,A,72.0,98.0,170.0,85.0,A,0.0,0.0,0.0,0.0,,166.0,83.0,A,N24,YS-N24/42-4200165/2014,44,021324,06/03/2017,313/021324,15/12/2015,,,
YS-N24/44-4200008/2015,35,84.0,36.0,40.0,160.0,80.0,A,70.0,81.0,151.0,76.0,B+,0.0,0.0,0.0,0.0,,156.0,78.0,B+,N24,YS-N24/42-4200008/2014,44,021383,16/06/2016,418/021383,16/06/2016,,,
YS-N24/44-4200096/2015,35,68.0,35.0,48.0,151.0,76.0,B+,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,YS-N24/42-4200096/2014,44,,,,,,,
YS-N24/44-4200061/2015,35,94.0,39.0,38.0,171.0,86.0,A,86.0,81.0,167.0,84.0,A,0.0,0.0,0.0,0.0,,170.0,85.0,A,N24,YS-N24/42-4200061/2014,44,021370,,405/021370,28/12/2015,,,
YS-N24/44-4200002/2015,35,68.0,26.0,38.0,132.0,66.0,B,54.0,81.0,135.0,68.0,B,0.0,0.0,0.0,0.0,,134.0,67.0,B,N24,YS-N24/42-4200002/2014,44,021376,12/04/2016,411/021376,12/04/2016,,,
YS-N24/44-4200074/2015,35,76.0,33.0,42.0,151.0,76.0,B+,42.0,86.0,128.0,64.0,B,0.0,0.0,0.0,0.0,,140.0,70.0,B+,N24,YS-N24/42-4200074/2014,44,021355,27/05/2016,390/021355,15/01/2016,,,
YS-N24/44-4200075/2015,35,84.0,34.0,48.0,166.0,83.0,A,38.0,84.0,122.0,61.0,B,0.0,0.0,0.0,0.0,,144.0,72.0,B+,N24,YS-N24/42-4200075/2014,44,021377,27/05/2016,412/021377,15/01/2016,,,
YS-N24/44-4200103/2015,35,88.0,41.0,46.0,175.0,88.0,A,76.0,86.0,162.0,81.0,A,0.0,0.0,0.0,0.0,,169.0,85.0,A,N24,YS-N24/42-4200103/2014,44,021352,,387/021352,01/01/2016,,,
YS-N24/44-4000193/2015,45,92.0,44.0,44.0,180.0,90.0,A+,74.0,94.0,168.0,84.0,A,68.0,95.0,163.0,82.0,A,256.0,86.0,A,N24,YS-N24/42-4000193/2014,44,021058,04/04/2016,23/021058,21/12/2015,,,
YS-N24/44-4200034/2015,35,82.0,34.0,44.0,160.0,80.0,A,76.0,83.0,159.0,80.0,A,0.0,0.0,0.0,0.0,,160.0,80.0,A,N24,YS-N24/42-4200034/2014,44,021396,08/04/2016,431/021396,22/12/2015,,,
YS-N24/44-4200124/2015,35,94.0,47.0,46.0,187.0,94.0,A+,92.0,95.0,187.0,94.0,A+,0.0,0.0,0.0,0.0,,188.0,94.0,A+,N24,YS-N24/42-4200124/2014,44,021349,,384/021349,22/12/2015,,,
YS-N24/44-4200109/2015,35,70.0,34.0,36.0,140.0,70.0,B+,72.0,81.0,153.0,77.0,B+,0.0,0.0,0.0,0.0,,147.0,74.0,B+,N24,YS-N24/42-4200109/2014,44,021380,,415/021380,04/03/2016,,,
YS-N24/44-4200108/2015,35,94.0,39.0,38.0,171.0,86.0,A,86.0,81.0,167.0,84.0,A,0.0,0.0,0.0,0.0,,170.0,85.0,A,N24,YS-N24/42-4200108/2014,44,021371,,406/021371,27/01/2016,,,
YS-N24/44-4200064/2015,35,94.0,30.0,41.0,165.0,83.0,A,56.0,88.0,144.0,72.0,B+,0.0,0.0,0.0,0.0,,155.0,78.0,B+,N24,YS-N24/42-4200064/2014,44,,,71,24/12/2015,,,
YS-N24/44-4200024/2015,35,74.0,26.0,40.0,140.0,70.0,B+,48.0,95.0,143.0,72.0,B+,0.0,0.0,0.0,0.0,,142.0,71.0,B+,N24,YS-N24/42-4200024/2014,44,,,85,24/12/2015,,,
YS-N24/44-4200047/2015,35,72.0,17.0,38.0,127.0,64.0,B,44.0,76.0,120.0,60.0,B,0.0,0.0,0.0,0.0,,124.0,62.0,B,N24,YS-N24/42-4200047/2014,44,021342,27/04/2016,377/021342,27/04/2016,,,
YS-N24/44-4200048/2015,35,62.0,23.0,34.0,119.0,60.0,B,46.0,78.0,124.0,62.0,B,0.0,0.0,0.0,0.0,,122.0,61.0,B,N24,YS-N24/42-4200048/2014,44,021363,27/04/2016,398/021363,27/04/2016,,,
YS-N24/44-4200035/2015,35,68.0,24.0,34.0,126.0,63.0,B,40.0,85.0,125.0,63.0,B,0.0,0.0,0.0,0.0,,126.0,63.0,B,N24,YS-N24/42-4200035/2014,44,021348,08/04/2016,383/021348,08/04/2016,,,
YS-N24/44-4200076/2015,35,96.0,44.0,41.0,181.0,91.0,A+,72.0,83.0,155.0,78.0,B+,0.0,0.0,0.0,0.0,,169.0,85.0,A,N24,YS-N24/42-4200076/2014,44,021394,11/04/2016,429/021394,09/01/2016,,,
YS-N24/44-4200079/2015,35,74.0,31.0,42.0,147.0,74.0,B+,56.0,77.0,133.0,67.0,B,0.0,0.0,0.0,0.0,,141.0,71.0,B+,N24,YS-N24/42-4200079/2014,44,,,72,14/12/2015,,,
YS-N24/44-4200041/2015,35,80.0,31.0,44.0,155.0,78.0,B+,60.0,86.0,146.0,73.0,B+,0.0,0.0,0.0,0.0,,151.0,76.0,B+,N24,YS-N24/42-4200041/2014,44,,,75,24/12/2015,,,
YS-N24/44-4200082/2015,35,98.0,49.0,47.0,194.0,97.0,A+,100.0,86.0,186.0,93.0,A+,0.0,0.0,0.0,0.0,,190.0,95.0,A+,N24,YS-N24/42-4200082/2014,44,021387,02/04/2016,422/021387,16/12/2015,,,
YS-N24/44-4200042/2015,35,100.0,49.0,44.0,193.0,97.0,A+,94.0,87.0,181.0,91.0,A+,0.0,0.0,0.0,0.0,,188.0,94.0,A+,N24,YS-N24/42-4200042/2014,44,,,84,14/12/2015,,,
YS-N24/44-4200032/2015,35,88.0,37.0,44.0,169.0,85.0,A,76.0,83.0,159.0,80.0,A,0.0,0.0,0.0,0.0,,165.0,83.0,A,N24,YS-N24/42-4200032/2014,44,021362,17/05/2016,397/021362,22/12/2015,,,
YS-N24/44-4200039/2015,35,94.0,38.0,44.0,176.0,88.0,A,66.0,82.0,148.0,74.0,B+,0.0,0.0,0.0,0.0,,162.0,81.0,A,N24,YS-N24/42-4200039/2014,44,021375,17/05/2016,410/021375,06/01/2016,,,
YS-N24/44-4000388/2015,45,48.0,21.0,42.0,111.0,56.0,C,32.0,78.0,110.0,55.0,C,36.0,85.0,121.0,61.0,B,172.0,58.0,C,N24,YS-N24/42-4000388/2014,44,021072,,37/021072,14/12/2015,,,
YS-N24/44-4200139/2015,35,46.0,18.0,40.0,104.0,52.0,C,28.0,77.0,105.0,53.0,C,0.0,0.0,0.0,0.0,,105.0,53.0,C,N24,YS-N24/42-4200139/2014,44,021384,11/05/2016,419/021384,11/05/2016,,,
YS-N24/44-4200118/2015,35,70.0,28.0,45.0,143.0,72.0,B+,40.0,80.0,120.0,60.0,B,0.0,0.0,0.0,0.0,,132.0,66.0,B,N24,YS-N24/42-4200118/2014,44,021364,26/03/2016,399/021364,26/03/2016,,,
YS-N24/44-4200179/2015,35,88.0,27.0,45.0,160.0,80.0,A,42.0,86.0,128.0,64.0,B,0.0,0.0,0.0,0.0,,144.0,72.0,B+,N24,YS-N24/42-4200179/2014,44,021379,26/03/2016,414/021379,26/03/2016,,,
YS-N24/44-4000168/2015,45,86.0,30.0,48.0,164.0,82.0,A,70.0,88.0,158.0,79.0,B+,88.0,82.0,170.0,85.0,A,246.0,82.0,A,N24,YS-N24/42-4000168/2014,44,021099,08/07/2016,64/021099,08/07/2016,,,
YS-N24/44-4000043/2015,45,86.0,26.0,42.0,154.0,77.0,B+,46.0,90.0,136.0,68.0,B,30.0,84.0,114.0,57.0,C,202.0,68.0,B,N24,YS-N24/42-4000043/2014,44,021071,27/04/2016,36/021071,12/12/2015,,,
