reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/55-5300160/2018,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300160/2017,55,,,,,,,
YS-N24/55-5300151/2018,35,,,,,,,33.0,24.0,,,,,,,,,,,C,N24,YS-N24/53-5300151/2017,55,WB1002528221,01/02/2019,,,,PASS,
YS-N24/55-5300150/2018,35,,,,,,,40.0,28.0,,,,,,,,,,,B,N24,YS-N24/53-5300150/2017,55,WB1002528073,01/02/2019,,,,PASS,
YS-N24/55-5300126/2018,35,,,,,,,41.0,28.0,,,,,,,,,,,B,N24,YS-N24/53-5300126/2017,55,WB1002528157,21/01/2019,,,,PASS,
YS-N24/55-5300127/2018,35,,,,,,,31.0,27.0,,,,,,,,,,,C,N24,YS-N24/53-5300127/2017,55,WB1002528231,10/01/2019,,,,PASS,
YS-N24/55-5300148/2018,35,,,,,,,32.0,26.0,,,,,,,,,,,C,N24,YS-N24/53-5300148/2017,55,WB1002528273,16/02/2019,,,,PASS,
YS-N24/55-5300149/2018,35,,,,,,,38.0,27.0,,,,,,,,,,,B,N24,YS-N24/53-5300149/2017,55,WB1002528267,16/02/2019,,,,PASS,
YS-N24/55-5300006/2018,35,,,,,,,37.0,28.0,,,,,,,,,,,B,N24,YS-N24/53-5300006/2017,55,WB1002528279,04/02/2020,,,,PASS,
YS-N24/55-5300152/2018,35,,,,,,,34.0,26.0,,,,,,,,,,,B,N24,YS-N24/53-5300152/2017,55,WB1002528099,07/08/2019,,,,PASS,
YS-N24/55-5300137/2018,35,,,,,,,39.0,27.0,,,,,,,,,,,B,N24,YS-N24/53-5300137/2017,55,WB1002528251,27/12/2018,,,,PASS,
YS-N24/55-5300159/2018,33,,,,,,,0.0,24.0,,,,,,,,,,,,N24,YS-N24/53-5300159/2017,55,,,,,,ABSENT,
YS-N24/55-5300088/2018,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300088/2017,55,,,,,,,
YS-N24/55-5300165/2018,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300165/2017,55,,,,,,,
YS-N24/55-5300122/2018,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300122/2017,55,,,,,,,
YS-N24/55-5300074/2018,33,,,,,,,49.0,26.0,,,,,,,,,,,B+,N24,YS-N24/53-5300074/2017,55,WB1002525649,14/01/2019,,,,PASS,
YS-N24/55-5300066/2018,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300066/2017,55,,,,,,,
YS-N24/55-5300161/2018,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300161/2017,55,,,,,,,
YS-N24/55-5300121/2018,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300121/2017,55,,,,,,,
YS-N24/55-5300043/2018,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300043/2017,55,,,,,,,
YS-N24/55-5300069/2018,33,,,,,,,49.0,28.0,,,,,,,,,,,B+,N24,YS-N24/53-5300069/2017,55,WB1002525735,14/12/2018,,,,PASS,
YS-N24/55-5300164/2018,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300164/2017,55,,,,,,,
YS-N24/55-5300022/2018,35,,,,,,,39.0,26.0,,,,,,,,,,,B,N24,YS-N24/53-5300022/2017,55,WB1002533549,02/02/2019,,,,PASS,
YS-N24/55-5300033/2018,35,,,,,,,51.0,28.0,,,,,,,,,,,B+,N24,YS-N24/53-5300033/2017,55,WB1002533425,19/12/2018,,,,PASS,
YS-N24/55-5300023/2018,35,,,,,,,47.0,24.0,,,,,,,,,,,B+,N24,YS-N24/53-5300023/2017,55,WB1002534215,21/12/2018,,,,PASS,
YS-N24/55-5300012/2018,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300012/2017,55,,,,,,,
YS-N24/55-5300045/2018,35,,,,,,,54.0,29.0,,,,,,,,,,,A,N24,YS-N24/53-5300045/2017,55,WB1002533869,21/12/2018,,,,PASS,
YS-N24/55-5300054/2018,35,,,,,,,40.0,29.0,,,,,,,,,,,B,N24,YS-N24/53-5300054/2017,55,WB1002534117,21/12/2018,,,,PASS,
YS-N24/55-5300007/2018,35,,,,,,,49.0,26.0,,,,,,,,,,,B+,N24,YS-N24/53-5300007/2017,55,WB1002532941,18/12/2018,,,,PASS,
YS-N24/55-5300064/2018,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/53-5300064/2017,55,,,,,,,
YS-N24/55-5300063/2018,35,,,,,,,41.0,29.0,,,,,,,,,,,B+,N24,YS-N24/53-5300063/2017,55,WB1002532967,18/12/2018,,,,PASS,
YS-N24/55-5300062/2018,35,,,,,,,46.0,25.0,,,,,,,,,,,B+,N24,YS-N24/53-5300062/2017,55,WB1002532791,18/12/2018,,,,PASS,
