reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/21-2100001/2009,27,33.0,40.0,58.0,131.0,66.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,131.0,66.0,B,N24,,21,011589,,185/011589,01/12/2009,UNKNOWN,,
YS-N24/21-2100002/2009,27,0.0,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,,21,,,,,UNKNOWN,,
YS-N24/21-2100003/2009,27,22.0,36.0,55.0,113.0,57.0,C,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,113.0,57.0,C,N24,,21,011596,04/11/2010,192/011596,04/11/2010,UNKNOWN,,
YS-N24/21-2100004/2009,27,28.0,48.0,56.0,132.0,66.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,132.0,66.0,B,N24,,21,011601,,197/011601,,UNKNOWN,,
YS-N24/21-2100005/2009,27,0.0,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,,21,,,,,UNKNOWN,,
YS-N24/21-2100006/2009,27,0.0,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,,21,,,,,UNKNOWN,,
YS-N24/21-2100007/2009,27,22.0,31.0,68.0,121.0,61.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,121.0,61.0,B,N24,,21,011590,28/05/2010,186/011590,22/12/2009,UNKNOWN,,
YS-N24/21-2100008/2009,27,25.0,39.0,60.0,124.0,62.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,124.0,62.0,B,N24,,21,011600,17/04/2012,196/011600,17/04/2012,UNKNOWN,,
YS-N24/21-2100009/2009,27,29.0,39.0,65.0,133.0,67.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,133.0,67.0,B,N24,,21,011594,,190/011594,21/11/2009,UNKNOWN,,
YS-N24/21-2100010/2009,27,27.0,28.0,65.0,120.0,60.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,120.0,60.0,B,N24,,21,011607,,203/011607,12/07/2010,UNKNOWN,,
YS-N24/21-2100011/2009,27,28.0,30.0,62.0,120.0,60.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,120.0,60.0,B,N24,,21,011592,,188/011592,,UNKNOWN,,
YS-N24/21-2100012/2009,27,28.0,32.0,62.0,122.0,61.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,122.0,61.0,B,N24,,21,011599,,195/011599,,UNKNOWN,,
YS-N24/21-2100013/2009,27,0.0,0.0,0.0,0.0,0.0,INC,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,INC,N24,,21,,,,,UNKNOWN,,
YS-N24/21-2100014/2009,27,24.0,42.0,64.0,130.0,65.0,B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,130.0,65.0,B,N24,,21,011604,,200/011604,27/08/2010,UNKNOWN,,
